ID	Abstract
450	"36 year old man took and overdose of copper sulfate and was admitted in coma three hours later and developed hemolytic anemia and jaundice the following day [bilirubin rising to 6.6 mg/dL, AST 190 U/L], dying 11 days after ingestion and autopsy showing cholestasis and inflammation, but ""necrosis was not seen""."
451	Prospective study of 10 children receiving methotrexate [7 on daily and 4 on intermittent therapy for leukemia] found hepatic fibrosis and fat even without liver test abnormalities, often improving after stopping therapy.
452	Analysis of 42 cases of halothane jaundice: 67% fatal; 72% previously exposed; 88% had fever, 95% jaundiced: onset jaundice in 2-15 days, ALT usually >5 times and Alk P <4 times ULN. Histology showed acute hepatitis with focal or submassive necrosis, occasionally steatosis.
453	Two cases: 40 and 21 year old men developed jaundice after 4 and 8 days of therapy with erythromycin estolate [bilirubin 6 and 12 mg/L, AST 80 and 87 U/L, Alk P 47 and 15 U/L], with slow recovery [1 and 6 months].
454	Controlled trial of ethionamide vs isoniazid with streptomycin in 236 patients with active tuberculosis; similar efficacy but higher rate of toxicity with ethionamide [39% vs 11% requiring discontinuation], jaundice appearing in 1 [1%] and abnormal AST levels in 10 patients [~10%] on ethionamide.
455	30 year old man with difficult to control epilepsy on trimethadione, phenobarbital, ethosuximide and carbamazepine for 3 months developed vomiting and abnormal liver tests [bilirubin 1.9 mg/dL, ALT 85 U/L, Alk P 1.5 times ULN, no eosinophilia], which continued to worsen despite stopping trimethadione and ethosuximide; mild improvement on stopping carbamazepine; restarting led rapidly to abdominal pain and worsening jaundice [bilirubin 3.3 mg/dL, ALT 450 U/L, Alk P 2 times ULN], resolving within a month of stopping.
456	58 year old woman developed fever followed by jaundice on day 7 after methoxyflurane anesthesia [bilirubin 4.4 mg/dL, ALT 2000 U/L, Alk P 3.5 time ULN, 28% eosinophils], resolving within one month.
457	3 cases of thioridazine hepatotoxicity; case 1, 53 year old man with rise in ALT [600 U/L], Alk P [~10 fold] and bilirubin [5.2 mg/dL] within days of switching from chlorpromazine to thioridazine and rapid recovery with stopping; case 2, 32 year old woman switched from chlorpromazine to thioridazine because of ALT elevations and 4 months later developed fatigue [bilirubin normal, ALT 320 U/L, Alk P normal], resolving upon stopping; case 3, 17 year old boy had minor ALT elevations [<60 U/L] without Alk P or bilirubin abnormalities on thioridazine.
458	44 year old man developed fever and body aches 3 weeks after starting PAS, streptomycin and isoniazid followed by rash and jaundice [bilirubin 3.0 mg/dL, AST 120 U/L]; restarting isoniazid led to fever, abdominal pain and rise in ALT, restarting PAS led to fever and rash.
459	65 year old man developed dark urine without fever or rash 3 weeks after starting carbamazepine [bilirubin 5.8 mg/dL, ALT 120 U/L, Alk P 4 times ULN, no eosinophilia], improving on stopping and recurring within 4 days of rechallenge [bilirubin 2.2 mg/dL, ALT 210 U/L, Alk P 4 times ULN], recovery requiring 4 months.
460	28 year old woman taking OCCs for 12 to 18 months developed nausea and abdominal distention, with progressive ascites and variceal hemorrhage; autopsy showed hepatic vein thrombosis.
461	Two children with juvenile rheumatoid arthritis, ages 6 and 9 years, on indomethacin for 8 and 14 months developed sudden onset of an acute illness with fever, rapid clinical deterioration and death; autopsies did not reveal an obvious cause, but neither appeared to have acute liver injury.
462	34 year old man with chronic alcoholism developed jaundice 5 months after being switched from chlorpromazine to thioridazine [bilirubin 6.7 mg/dL, ALT 59 U/L, Alk P 7 Bessey-Lowry U/L], resolving rapidly upon stopping; biopsy showed intrahepatic cholestasis and not alcoholic hepatitis.
463	Letters in response to Proctor [1984], questioning the relatedness of the liver injury to ranitidine therapy and whether the aminotransferase elevations might have resolved even with continuing medication.
464	31 year old on OCCs for 12 years developed hepatic mass that had features of focal nodular hyperplasia with areas of hepatocellular carcinoma with subsequent spread, rise in alpha-fetoprotein and death 9 months later.
465	Cross sectional study of 63 children on phenobarbital and/or phenytoin for at least 12 months found 100% had GGT elevations [mean ~twice ULN], none had 5’NT, but 17% had AST and ALT elevations; 6 on phenytoin had persistent ALT elevations [72-122 U/L] and underwent liver biopsy: slight hepatocyte swelling, but no necrosis or inflammation, electron microscopy showed proliferation of endoplasmic reticulum, over time, ALT levels fell to normal but GGT remained elevated.
466	Double blind cross over study of triazolam vs chloral hydrate vs placebo in 27 patients with insomnia; sleep latency and total sleep time were no better with chloral hydrate than placebo; there were few side effects with either chloral hydrate or placebo.
467	13 Malaysian children with margosa oil poisoning, with onset of vomiting within a few minutes of taking the herbal medicine, presented with drowsiness and metabolic acidosis, liver tests being usually normal but liver biopsy showing steatosis of liver and renal tubules with mitochondrial damage suggestive of Reye's syndrome.
468	"Among 25 patients with anxiety disorders participating in dose finding studies of nabilone for up to 28 days, the most common side effects were dry mouth and eyes, drowsiness, headaches and insomnia; ""nabilone did not alter any value in the clinical chemistry battery""."
469	Among 20 patients with Wilson disease who were intolerant of penicillamine therapy, all responded to trientine therapy although complications of penicillamine [lupus syndrome, elastosis perforans] did not always improve; no evidence of toxicity including hepatotoxicity.
470	53 year old man with CLL and anti-HBc and anti-HBs without HBsAg developed reactivation of HBV after 3 monthly infusions of rituximab [bilirubin 17.1 mg/dL, ALT 2120 U/L, HBV DNA positive], with progressive liver failure and death within 27 days.
471	Plants have evolved poisons that are toxic to insects, but can also cause hepatic venoocclusive disease in grazing animals and in humans who ingest them in teas and herbal medications: “a disastrous discontinuity of tradition”.
472	Letter in which author proposes that valproate lowers carnitine levels, which impairs metabolism of fatty acids and mitochondrial function causing hyperammonemia and liver injury, recommends supplementation.
473	In a controlled trial of aztreonam vs gentamicin in 35 patients, asymptomatic elevations in ALT [3-5 times ULN] elevations occurred in 20% of aztreonam vs 11% of gentamicin recipients.
474	HLA-typing done on 20 patients with psoriasis and methotrexate related cirrhosis was compared to 44 treated patients without cirrhosis and 1291 controls; found a slight increase in HLA-A1+B8 [25% vs 7% vs 15%].
475	Controlled trial of aztreonam vs spectinomycin in 93 men with gonococcal urethritis; both agents were 100% effective and there were no side effects except for 1 patient with minimally elevatied AST, but normal ALT levels.
476	6 year old boy with chronic cutaneous candidiasis developed jaundice 5 months after starting ketaconazole [bilirubin 10.4 rising to 15.6 mg/dL and ALT 1980 U/L], with slow but complete resolution in 3 months.
477	Controlled trial of cyclosporine and prednisone vs azathioprine, prednisone and antilymphocyte globulin in 100 renal transplant patients, hepatotoxicity was uncommon and mild; 3 of 48 patients on cyclosporine had mild bilirubin elevations [1.6-2.5 mg/dL], which were rapidly reversible with dose adjustment.
478	4 of 36 patients had liver injury during ketaconazole therapy; most severe in a 37 year old man who developed pain after 6 months with ALT rising to 360 U/L, treated with prednisone; two asymptomatic cases with ALT elevations only, and one 43 year old man who developed jaundice and eosinophilia after 1 month of ketaconazole.
479	21 year old woman on OCCs for 2.5 years was found to have a 10 cm hepatocellular carcinoma that was resected; OCCs were stopped and she remained well during 6 years of follow-up despite the finding of a microscopic lymph node metastases.
480	3 cases; ages 63, 59 and 19 years on ranitidine for 3-6 weeks, presenting with fever [bilirubin 0.7, 2.1 and 8.8 mg/dL, ALT 157, 81 and 100 U/L, Alk P 152, 360 and 167 U/L], resolving rapidly upon stopping; all 3 patients had previously tolerated cimetidine without liver injury.
481	ATG has antibody reactivity not just to T cells, but also to granulocytes, bone marrow cells, and yields nuclear and cytoplasmic staining of many tissues including hepatocytes.
482	The incidence of prospective organ donors in the United States and the techniques which are to used to guarantee their optimal use after identification are analyzed. Attitudes of the public and health professionals toward organ donation are discussed. The organization of the Pittsburgh Organ Procurement Agency and its relationship to other such agencies is described. Finally, the presently used techniques of liver salvaging and preservation are outlined.
483	54 year old woman developed jaundice and itching 4 weeks after starting captopril [bilirubin 22.2 mg/dL, ALT 43 U/L, Alk P 515 U/L], slowly resolving on stopping, normal 3 months later.
484	40 patients with metastatic colorectal cancer underwent hepatic arterial infusions with FUDR; toxic effects were largely gastrointestinal with ulcers [30%], gastritis without ulcers [18%], elevations in bilirubin >3 mg/dL [23%], AST [65%], and extrahepatic bile duct strictures [5%].
485	In a 3 year old girl with MTHFR deficiency, betaine therapy [6-20 g daily] resulted in a decrease of homocysteine levels to trace amounts and a partial improvement in clinical symptoms “without apparent harmful effects and without signs of a disturbed liver function”.
486	"In a crossover study conducted over a six-month period in eight patients with well-characterized premenstrual syndrome, physical and behavioral symptoms were relieved by daily administration of an agonist of gonadotropin-releasing hormone. The reversible ""medical ovariectomy"" attained with this agonist suggests that it may be an effective and rational treatment for this distressing syndrome in the short term. Whether prolonged therapy would be safe and effective, or even necessary, remains to be determined."
487	Extensive review of mechanism of action, efficacy and safety of propylthiouracil and methimazole in treating hyperthyroidism; side effects occur in 1-5% of patients, including fever, rash, urticaria, transient leucopenia, and arthralgias particularly with higher doses; severe side effects include agranulocytosis, vasculitis, aplastic anemia, thrombocytopenia and nephritic syndrome.
488	Review of literature and own cases of valproate liver injury; describe three forms, hepatitis-like syndrome arising 4-16 weeks after starting therapy with high fatality rate; a Reyes-like syndrome and hyperammonemia with minimal liver injury.
489	72 year old woman with rheumatoid arthritis developed jaundice 3-4 weeks after starting gold therapy [bilirubin 7.1 mg/dL, ALT 169 U/L, Alk P 2890 U/L], resolving within 1 month.
490	In a population based study, 20% of 91 patients with acute cholecystitis versus 10% of 364 controls had recently received a thiazide diuretic: relative risk of 2.1 [1.1-3.9, 95% CI].
491	56 year old woman with rheumatoid arthritis developed rash and jaundice 4 weeks after starting aurothioglucose [bilirubin 10.8 mg/dL, AST 95 U/L, Alk P 1525 U/L], with positive in vitro lymphocyte stimulation tests to gold.
492	"24 year old woman presented 15-39 hours after overdose of acetaminophen at 28 week gestation [bilirubin not given, ALT 1410 rising to 4521 U/L], and dead fetus, autopsy of infant showing massive ""cytolysis""."
493	65 year old woman was found to have liver test abnormalities 11 days after surgery and isoflurane anesthesia [bilirubin 0.4 mg/dL, ALT 229 U/L, Alk P 900 U/L] which was initially attributed isoflurane, but later shown to be due to biliary obstruction.
494	Multicomponent self-diffusion studies provide a general picture of amphiphile self-association. Both micelles and microemulsions based on bile salts show a lower degree of association cooperativity, lower aggregate charge densities and more extensive hydration than corresponding ionic surfactant systems. Effectively bicontinuous isotropic solutions of the microemulsion type are more easily formed by bile salts than by surfactants.
495	The purpose of this paper is to review the past and current in vitro studies aimed at understanding the mechanisms of cholesterol gallstone dissolution in bile. As is pointed out, there has been considerable progress in this area during the past 15 years with regard to the physical chemistry of the dissolution process.
496	46 and 54 year old women developed acute cholestatic hepatitis from erythromycin ethylsuccinate with latency of 2 and 6 days [with previous exposures] and ALT 98-405 U/L, Alk P 206-234 U/L [normal <33], and recovery within 2-6 weeks.
497	76 year old man with Echinococcal cysts of liver developed rash 49 days after starting mebendazole [~29 mg/kg/day], with ALT 250 U/L but normal bilirubin and Alk P; positive rechallenge to low dose [ALT 403 U/L].
498	18 month old boy swallowed an estimated 60 tablets of ferrous sulfate [~3.5 g elemental iron] and presented 45 minutes later with obtundation, vomiting, diarrhea, acidosis and shock [serum iron 6798 µg/dL], responding to fluids and deferroxamine infusions and recovering within 7 days, returning 6 weeks later with intestinal obstruction due to a jejunal stricture.
499	Letter in response to Avner [1983] suggesting that sinusoidal obstruction syndrome may be a part of the clinical spectrum of cystinosis, rather than a complication of cysteamine therapy.
500	Two cases and review of literature on Reye syndrome in children on long term aspirin for rheumatologic disorders; 3 and 1 year olds on 80 and 150 mg/kg/day of aspirin for 3 months developed fever and then vomiting and coma with AST 1532 and 3460 U/L, bilirubin 0.7 and 1.0 mg/dL and high ammonia, lactate and protime, both recovered but one left with spastic quadriparesis.
501	1 year old boy developed ALT elevations one month after ethosuximide was added to a chronic regimen of valproate and phenobarbital that continued to worsen after stopping valproate [bilirubin normal, ALT 69 rising 229 U/L, GGT 175 U/], and resolved rapidly when ethosuximide was stopped.
502	Two cases; 28 year old woman developed jaundice 5 months after starting propylthiouracil [bilirubin 7.2 mg/dL, AST 250 U/L, Alk P normal], resolving in 2 months and recurring upon rechallenge, but then tolerating methimazole; 54 year old woman developed jaundice and pruritus 5 months after restarting propylthiouracil [bilirubin 2.4 mg/dL, AST 60 U/L, Alk P 220 U/L], with slow, incomplete recovery on stopping and biopsy later showing cirrhosis.
503	45 year old woman developed cholecystitis-like clinical picture with fever and eosinophilia 9 days after starting erythromycin ethylsuccinate [ALT rising to 613 U/L, Alk P 190 U/L but no jaundice], resolving rapidly after stopping.
504	Among 26 children with ALL treated with 43 courses of pentostatin [0.25-1.0 mg/kg/day for 3 days], dose-limiting toxicities were neurologic [seizures, coma], pulmonary, renal and hepatic, including 2 patients receiving high doses who developed severe injury: one had jaundice and fever the day after completing the first course [bilirubin not given, ALT 743 U/L] and died of respiratory failure one day later; a second developed jaundice, fever and ascites after 2 days of therapy [bilirubin 15.4 mg/dL, ALT normal] and died two weeks later; autopsy in both patients failed to demonstrate a clear cause.
505	Among 99 children with juvenile rheumatoid arthritis treated with aspirin or fenoprofen for 12 weeks, pain control was similar, but side effects were more with aspirin, ALT elevations arising in 5 children on aspirin [4 required discontinuation], but none on fenoprofen.
506	Absorption of ATG using fetal liver cells was effective in removing cytotoxicity to hematopoietic stem cells, but did not affect the immunosuppressive activity [which is directed primarily against mature T cells] of the antibody preparation.
507	The today situation of the Italian physician in the fight against drug addictions is outlined. Since the medical approach to this problem is not exhaustive, and on the basis of biological aspects more clinical-therapeutic knowledge of the withdrawal syndrome is required. 
508	"4 patients affected by hyperthyroidism presenting a feature of ""false acute abdomen"" as main clinical sign are presented. The low incidence of that association, according to the literature, and the difficulties of a correct diagnosis, which could lead to a useless laparotomy is pointed out. The conclusion is drawn that tests of thyroid functions should be done whenever the feature of acute abdomen presents without any past history of gastro-enteric lesions. "
509	Bladder instillation of cytosine arabinoside (CA), 400 mg in 20 ml sterilized distilled water, was performed in 30 cases of bladder tumors. The instillation was done everyday to inpatients or 3 times a week to outpatients, for a total of 20 procedures. The total effective rate was 33%. Although the effectiveness of CA bladder instillation was less than that of mitomycin C and adriamycin, the combination of CA and these drugs might be advisable. Neither general nor local side effect was observed. 
510	The investigation of the composition and properties of blood in 20 children with small intestine fistulas has revealed hypovolemia, disorders in the electrolyte composition, increased hematocrit and viscosity, changes of tests of coagulogram and thromboelastogram pointing to disseminated intravascular coagulation. Similar changes were noted in experimental studies in 20 dogs with duodenal fistulas. Drugs improving rheological properties of blood and anticoagulants gave better results of the treatment. 
511	20 year old woman developed fatigue and jaundice 2 weeks after starting propylthiouracil [bilirubin 22 mg/dL, AST 750 U/L, Alk P 248 U/L], with progressive hepatic failure, dying 4 months later.
512	The Authors studied the effects induced by long administration of hypothalamic phospholipids on the rat liver. They showed that the most important histologic changes can be observed in the liver of animals who received the longest treatment. Such changes consist of significant infiltration of lymphocytes and red blood cells that have overflowed into the pericentrolobular space. This picture of a not-too-serious blood stasis could justify the alterations of the epatocytes contemporarily observed. 
513	A case of probable exacerbation of an undiagnosed diabetic uropathy by a tricyclic antidepressant in a 67-year-old man with hypothyroidism, diabetes mellitus, and recurrent major depressive disorder is reported. The presumed mode of interaction is discussed and pertinent literature reviewed. It is emphasized that the clinician must be alert to the possibility of psychotropic drugs producing physiologic changes that can interact with or aggravate preexisting disorders. 
514	Albumin metabolism was studied with the aid of 131 I- albumin in human blood serum in 5 healthy individuals and 40 patients with chronic cardiac insufficiency. It is shown that in patients with different degrees of circulatory insufficiency the loss of albumin with feces into gastro-intestinal lumen does not exceed the loss in the healthy individuals. The cardiac insufficiency is characterized by intracellular metabolic disorders of albumin of the hypercatabolic type. 
515	Tfhe regional distribution of cathepsin D activity was measured in 10 regiongs of rat brain. The greatest activity was found in the hypothalamo-pituitary axis and in regions surrounding the 4th ventricle. In rats injected centrally with the specific cathepsin D inhibitor, pepstatin, the protease activity was inhibited up to 90% in most brain regions. 
516	"""Spontaneous"" rupture of the oesophagus is rare and happens after a marked rapid rise in intraluminal oesophageal pressure (massive vomiting, asthma etc.). As is known from the literature, forceful swallowing alone may produce spontaneous perforation in the case of damage to the mucosa or muscular layer of the oesophagus. Boerhaave's syndrome associated with rare diffuse idiopathic muscular hypertrophy of the lower oesophagus has been described in only three cases in the literature. "
517	A case of cardiotoxicity caused by 5-fluoro-uracil administration is described. The aetiological process is not clear, and it is possible that 5-fluoro-uracil has a vasoconstrictive effect on the coronary artery system. 
518	A group of patients with idiopathic chondrolysis of the hip joint reported on in 1971 have been reviewed and the findings reveal no significant change in their condition. since then a further 9 patients have been encountered and the findings are included in this article. This, we feel, confirms the existence of this strange condition, which almost inevitably results in the development of a fibrous ankylosis. 
519	Vasospasm of the cat basilar artery was produced by electrical, mechanical, or chemical stimuli or by subarachnoid hemorrhage. The vasospasm induced by these stimuli was relieved by the topical application of chlorpromazine to the vascular wall. Chlorpromazine appears to be a nonspecific vasoparalytic agent. Unlike previously used substances, it is effective in resolving vasospasm caused by mechanical as well as chemical irritation. 
520	Autopsy series of 6 patients who died suddenly due to granulomatous myocarditis while receiving methyldopa [for 16 days to 3 years], most also had granulomas in liver or chronic hepatitis; no clinical information.
521	Letter in response to Gill [1982] reporting another case of sinusoidal obstruction syndrome in a 46 year old man with leukemia being treated with methotrexate and thioguanine for 3 months [initial bilirubin 1.4 mg/dL, Alk P 5 times ULN, Alk P 997 U/L, platelets 94,000/?L], resolving with stopping chemotherapy.
522	Demonstration of defective transporter for cystine in lysosomes from patients with cystinosis which results in a toxic accumulation of cystine; in contrast, the egress of methionine, tryptophan and other amino acids is normal, suggesting a specific amino acid transporter defect.
523	5 cases of severe side effects due to ticlopidine, one liver-related: 48 year old man developed jaundice and pruritus 3 months after starting ticlopidine [bilirubin 26.3 mg/dL, ALT 80 U/L, Alk P 1000 U/L], resolving over next 7 months.
524	17 year old girl swallowed 50 iron tablets [~5 g of elemental iron] and rapidly developed abdominal pain, vomiting and diarrhea, followed by hypotension, acidosis and coagulopathy with slow recovery in levels of vitamin K dependent coagulation factors and transient liver injury [AST rising from 80 to 1296 U/L; bilirubin 1.2 to 5.0 mg/dL by day 3].
525	Small birth weight infant born to mother on cimetidine had prolonged jaundice with peak bilirubin 10 mg/dL, ALT 115 U/L, Alk P 48 at 4 days of age, resolving by 6 weeks; hypothesized that cimetidine which passes the placenta may have caused the injury.
526	"Twin 7 month olds developed irritability, vomiting and bulging fontanelles 4 months after starting a diet of chicken livers [~120 g daily], with normal ALT, Alk P and bilirubin, resolving with stopping diet [estimated 40,000 IU or 12,000 ?g daily]."
527	Review of 4 cases of hepatic angiosarcoma occurring in infants, ages 1-30 months, which had histologic features distinct from those in adults, one case attributed to arsenic exposure and three idiopathic.
528	32 year old woman with Crohn's disease on OCCs for 10 years found to have Alk P 600 U/L, ALT 25 U/L, bilirubin 1.0 mg/dL and biopsy showing peliosis, increased reticulum and thick walled arteries and fibrosis in portal areas.
529	Among 1000 episodes of phencyclidine intoxication seen at a Los Angeles medical center, median age was 23 years [range 13 to 65 years], 88% were men; 57% had nystagmus, 57% hypertension, 37% acute brain syndrome, 11% unconscious, 35% violent behavior, 34% agitated, 19% hallucinating, 3.5% no behavioral changes, 30% tachycardia, 2.6% hyperthermia; among those tested, CPK was elevated in 70% and ALT in 50%, but none had accompanying bilirubin elevations.
530	Serum from halothane hepatitis cases was cytotoxic to hepatocytes from rabbits given halothane, but only if animals were exposed to high concentrations of oxygen suggesting that oxidative metabolic pathway was involved.
531	Two patients with rheumatoid arthritis wtih penicillamine hepatotoxicity; 43 year old woman developed enzyme elevations [normal bilirubin, AST 440 U/L, Alk P ~2 times ULN] without symptoms 2 months after starting penicillamine, resolving rapidly on stopping and recurring with rechallenge; 60 year old man developed jaundice 2 weeks after starting penicillamine [bilirubin 2.2 mg/dL, AST 128 U/L, Alk P 8 times ULN], resolving slowly over next 9 months.
532	"Among 55 patients receiving cancer chemotherapy given intramuscular injections of trimethobenzamide or placebo four times daily for 48 hours, ""no side effects attributable to trimethobenzamide were recorded""."
533	Case control study of 419 patients with acute cholecystitis and 1676 controls found increased frequency of recent use of thiazides [14% vs 8%: relative risk of 2.0].
534	53 year old woman developed rash and fever 7 days after starting imipramine followed by jaundice with eosinophilia [bilirubin 10 mg/dL, AST 115 U/L, Alk P ~4 times ULN], with persistent jaundice and severe pruritus for 1 year, followed by gradual improvement; but 12 year follow up showed minor alkaline phosphatase and AST elevations with normal bilirubin; liver biopsies showed duct absence initially, but returning in follow up, although fibrosis was present.
535	Between 1966 and 1976, 921 adverse events due to nitrofurantoin were reported to a Swedish registry; 50 [6%] of which were hepatic, including 1 fatality due to cirrhosis; mean age 59 years, 86% women, half with latency <1 month, but some with latency >1 year.
536	67 year old developed elevations in liver tests 7 months after starting cimetidine [bilirubin 2 mg/dL, ALT 246 U/L, Alk P 216 U/L], which returned to normal 3 months later with positive rechallenge during which liver biopsy showed centrozonal necrosis with occasional bridging: Case 1.
537	Review of flutamide events reported to FDA MedWatch 1989-1994, found 20 deaths and 26 hospitalizations for flutamide hepatotoxicity ~3/10,000; autopsy in 6 showed massive necrosis, mean onset of 3 months after starting; found 16 cases in literature.
538	Among 6 patients with sickle cell disease [ages 13 to 46 years] who were treated with phenylbutyrate [13 g/m2 daily] for 8-43 days, all had an increase in fetal hemoglobin, but compliance was poor and adverse events included rash, sodium overload, edema and fever; no mention of ALT elevations or hepatotoxicity.
539	79 year old man with myelofibrosis developed fever and diarrhea 20 days after starting hydroxyurea [normal white counts, no mention of liver tests], which resolved within 24 hours of stopping.
540	44 year old woman developed jaundice 2 weeks after finishing a 7 day course of ciprofloxacin [bilirubin 9.6 mg/dL, ALT 745 U/L, Alk P 284 U/L], with full recovery requiring 5 months.
541	Controlled trial of 14 days of fluconazole vs nystatin in 182 children with oropharyngeal candidiasis; liver test abnormalities occurred in 8% on nystatin vs 7% on fluconazole; no early discontinuations because of abnormalities.
542	39 year old man with tuberculosis developed fever and rash 2 weeks after starting allopurinol; initially with normal liver tests, but then developing lymphadenopathy, eosinophilia [bilirubin normal, ALT 413 U/L, Alk P 143 U/L], resolving rapidly after stopping allopurinol.
543	The development of models of both Candida albicans and mixed C. albicans/Escherichia coli/Bacillus fragilis peritonitis in immunologically normal mice are described, each with significant mortality and intra-abdominal abscess formation. C. albicans inoculated alone induced bacterial translocation into abscesses, and the addition of bacteria reduced the number of, but did not eliminate. C. albicans in abscesses. There was no synergy seen between fungi and bacteria in terms of either morbidity or mortality. 
544	With an assay that generates superoxide anion radicals without the intervention of metal ions we investigated the antioxidant properties of captopril, an angiotensin-converting enzyme inhibitor with a sulfhydryl group. Under these conditions, increasing concentrations of the drug were seen not to scavenge O.-2 directly. However, a combination of captopril and iron could bring about the breakdown of the superoxide anion; a result that may help to understand the free radical-scavenging properties of captopril. 
545	Forty-two cases of the viral encephalitis have been analysed clinically and epidemiologically. On the basis of a literature review and own observations the author discusses the aetiology, diagnosis, clinical course and treatment of encephalitis caused by viruses. An emphasis in the diagnostic methods (serodiagnosis and viral isolations) was presented. Attention is called to the early treatment with antiviral drugs. 
546	The author gives an account on the effect of a number of nutrients prepared by the pharmaceutical industry and their use in enteral and parenteral nutrition. They are natural substances which promote the action of other pharmaceutical preparations. Their main importance is in prevention: they prevent a number of complications, have no side-effects and there is no risk of overdosage. 
547	The blood plasma and urinary pattern of polyamines and pyrimidines in dogs bearing mammary tumours was examined. A large variability of pyrimidines in blood plasma and spermidine, spermine and pseudouridine in urine of healthy and tumour-bearing dogs was observed. The blood plasma level of uracil and uridine as well as urinary concentration of pseudouridine and spermidine/spermine ratio were significantly elevated in dogs with mammary tumours. 
548	We describe a patient with recurrence of Hodgkin's disease and severe liver disease of unknown origin in whom autoimmune neutropenia developed. Because of possible seronegative viral hepatitis he was treated with high-dose intravenous immunoglobulin instead of steroids. He responded with a prompt but transitory increase of the neutrophil count and recovered completely after chemotherapy. 
549	Endoscopic interventional techniques have created a wide new perspective for non-surgical treatment of chronic pancreatitis (CP). Surgery and endoscopy differ in their techniques, but are comparable with regard to tactics. The aim of methods in CP is to relieve pain and/or local complications. The preliminary results of endoscopic procedures in CP are promising and the methods appear safe in the hands of experienced endoscopists. 
550	The syndrome of cardiovascular involvement is one of the most frequently occurring syndromes in the toxicogenic phase of acute poisonings in children. Analysis of the results of comprehensive examination of cardiac function in 168 infants poisoned with clopheline, caustic poisons, barbiturates, and amitriptyline showed changes in the ECG and central and peripheral hemodynamics which are characteristic of each type of poisonings. 
551	We report a patient who developed cutaneous metastases in a lymphoedematous leg, from a follicular centre cell lymphoma, in a setting of lymphoedema praecox and recurrent deep-vein thromboses. To our knowledge, this is the first report of such a case. We discuss the possible causes for this localization. 
552	Despite improvements in treatment and survival rates for some types of cancer, there remains a need to develop new treatment strategies for the majority of solid tumours. This article describes the cytokines most commonly used and examines the implications for the patient and nursing management. 
553	A sensitive liquid chromatographic analysis for myo-inositol was developed using glycocyamine as the post-labelling reagent. The sensitivity was 500 pmol/injection. The system was applied to analyse myo-inositol in sera from eight patients with chronic renal failure. The average concentration of serum myo-inositol was 498.6 +/- 257.0 mumol/L before haemodialysis, and 244.0 +/- 131.1 mumol/L after haemodialysis. These results indicated that the kidney is the main site of myo-inositol metabolism. 
554	The importance of standardizing surgical pathology reports is emerging from the literature. The use of checklists has recently been proposed for diagnosing the major tumour types, but no attention has been given to non-neoplastic conditions. In this paper a checklist for standard reports of liver needle biopsies for non-neoplastic conditions is presented. 
555	In developing rabbit brain we studied expression of metalloproteinases (MMP) 1 and 3 by in situ hybridization and MMP2 and tissue and urokinase-type plasminogen activators (tPA and uPA) by immunohistochemistry. All are detected in developing cell populations. Mature olfactory bulb neurons express MMP1 and MMP3. uPA is expressed by glial cells during myelination and by mature cortical neurons. MMP2 is expressed by mature subpial and perivascular astrocytes. 
556	Serotonin (5-hydroxytryptamine, 5HT) content and monoamine oxidase (MAO) activity were determined in whole blood of patients with Parkinson's disease (PD) with and without drug treatment and compared with controls. From that comparison a significant reduction in platelet 5HT became apparent in PD. Selegiline, which was always used in combination with L-dopa, not only inhibited MAO activity, as expected, but it also appeared to induce an increase in 5HT content. 
557	Over a 6-month period, 6 of 54 postthoracotomy patients developed pneumonia and respiratory failure. Pneumonia was secondary to herpes simplex virus type 1 in 3 of the 6 patients. Diagnostic efforts including bronchoscopy with bronchial washing, viral cultures, and cytologic examination permitted early diagnosis and successful treatment with acyclovir. A high index of suspicion for herpes simplex pneumonia must be maintained in critically ill patients with undiagnosed pneumonia. 
558	A series of C-terminal linear endothelin analogues were prepared and their activities in C6 rat glioma cell line were tested. Among the synthetic analogues, IBDP 064, Fmoc-Leu-Asp-Ile-Ile-Trp-OH, was the most potent and selective inhibitor of endothelin-3-induced cell proliferation. Its action was comparable with that of the previously described peptide IRL 1038, [Cys11-Cys15]-ET-1(11-21), an ETB specific inhibitor. 
559	Summary analysis of 180 cases of diclofenac hepatotoxicity reported to FDA during 3 year period; 67% symptomatic, 50% jaundiced; 8% mortality in patients with jaundice; latency 1-6 months in 85% of cases; hepatocellular enzyme pattern in most.
560	Results of dynamic investigation of beta-endorphins and hormonal state were analysed in 34 patients with pancreonecrosis aged from 23 to 54 years. The dependency of this indexes on the severity of clinical course and presence of complications was determined. The correction ways of injurious action of stress-reaction in pancreonecrosis were proposed. 
561	Complex investigations of hepatoportal circulation and hepatic functional reserve were conducted in 90 patients with liver cirrhosis and the portal hypertension syndrome in the stages of compensation, sub- and decompensation. While the disease grow progressing the indexes of common hepatic blood flow and its components lowers, hyperdynamic state of splenic circulation changes to congested one. Hemodynamic disturbances mentioned are making for hepatic functional reserve worsen. 
562	A case of a stage IB gastric cancer associated with spontaneous muscle atrophy of both hands is reported. The cause of this atrophy was not apparent with current neurologic diagnostic modalities. Although the association of gastric cancer with muscle atrophy may be coincidental, it may be part of a paraneoplastic syndrome. 
