,Unnamed: 0,PubMedID,Title,Abstract,Label
9563,9563,10217058,Criteria and recommendations for vitamin C intake,"Recommendations for vitamin C intake are under revision by the Food and Nutrition Board of the National Academy of Sciences. Since 1989 when the last recommended dietary allowance (RDA) of 60 mg was published, extensive biochemical, molecular, epidemiologic, and clinical data have become available. New recommendations can be based on the following 9 criteria: dietary availability, steady-state concentrations in plasma in relationship to dose, steady-state concentrations in tissues in relationship to dose, bioavailability, urine excretion, adverse effects, biochemical and molecular function in relationship to vitamin concentration, direct beneficial effects and epidemiologic observations in relationship to dose, and prevention of deficiency. We applied these criteria to the Food and Nutrition Board's new guidelines, the Dietary Reference Intakes, which include 4 reference values. The estimated average requirement (EAR) is the amount of nutrient estimated to meet the requirement of half the healthy individuals in a life-stage and gender group. Based on an EAR of 100 mg/d of vitamin C, the RDA is proposed to be 120 mg/d. If the EAR cannot be determined, an adequate intake (AI) amount is recommended instead of an RDA. The AI was estimated to be either 200 mg/d from 5 servings of fruits and vegetables or 100 mg/d of vitamin C to prevent deficiency with a margin of safety. The final classification, the tolerable upper intake level, is the highest daily level of nutrient intake that does not pose risk or adverse health effects to almost all individuals in the population. This amount is proposed to be less than 1 g of vitamin C daily. Physicians can tell patients that 5 servings of fruits and vegetables per day may be beneficial in preventing cancer and providing sufficient vitamin C intake for healthy people, and that 1 g or more of vitamin C may have adverse consequences in some people.",1
5304,5304,25251864,Complications of immunosuppressive agents therapy in transplant patients,"Solid organ transplantation remains the gold standard for the treatment of end-stage organ dysfunction and saves thousands of lives. Besides the progress of surgery, advances in understanding transplant physiology, immunology and the development of immunosuppressive drugs lead to improved short- and long-term survival. Transplantation is offered to an increasing number of patients with higher age and comorbidities. Approximately one third of organ recipients require hospital readmission after transplantation because of a multitude of clinical problems related to immunosuppressive therapy. We review the current knowledge on typical complications associated with immunosuppressants with emphasis on the intensivist's perspective.  ",0
766,766,2648143,Graft-versus-host disease as adoptive immunotherapy in patients with advanced hematologic neoplasms,"The occurrence of graft-versus-host disease (GVHD) after allogeneic bone marrow transplantation for leukemia is thought to decrease the probability of recurrence. To study this effect (called adoptive immunotherapy) we modified the prophylaxis of GVHD in patients with advanced hematologic neoplasms (mostly leukemia) who received bone marrow transplants. Patients under 30 years of age were randomly assigned to one of three regimens of post-transplantation immunosuppression: Group I (n = 44) received a standard course of methotrexate for 102 days after transplantation, Group II (n = 40) received an abbreviated (11-day) course of methotrexate, and Group III (n = 25) received the standard course of methotrexate plus viable buffy-coat cells from the marrow donors. All 109 patients received cyclophosphamide (60 mg per kilogram of body weight on each of two days), total-body irradiation (2.25 Gy daily for seven days), and unmodified marrow from HLA-identical sibling donors. The frequency of GVHD of Grades II through IV was 25 percent in Group I, 59 percent in Group II, and 82 percent in Group III (P = 0.0001). The incidence of chronic GVHD, however, did not differ significantly among the groups (33, 51, and 44 percent, respectively), nor did the five-year probability of recurrence of disease (38, 45, and 33 percent, respectively). However, mortality from causes other than cancer was 34 percent in Group I, 45 percent in Group II, and 64 percent in Group III (I vs. III, P = 0.024); the deaths were due primarily to infections complicating the course of GVHD. With a median follow-up of 5.1 years (range, 3.9 to 7.4), disease-free survival was 41 percent in Group I, 30 percent in Group II, and 24 percent in Group III (the differences were not statistically significant). We conclude that abbreviating methotrexate prophylaxis or infusing donor buffy-coat cells increased the incidence of acute GVHD and related mortality without altering the incidence of chronic GVHD or the recurrence of malignant disease.",0
4686,4686,23837042,Clinical study of renal impairment in patients with propylthiouracil-induced small-vessel vasculitis and patients with primary ANCA-associated small-vessel vasculitis,"The aim of this study was to compare renal impairment in patients with propylthiouracil (PTU)-induced small-vessel vasculitis and patients with primary anti-neutrophil cytoplasmic antibody (ANCA)-induced small-vessel vasculitis. The study compared the pathology and clinical conditions of 10 patients with PTU-associated small-vessel vasculitis and 18 patients with primary ANCA-associated small-vessel vasculitis. All patients showed manifestations of renal impairment. Compared with the primary ANCA-induced small-vessel vasculitis, patients with PTU-induced small-vessel vasculitis were mostly female (P<0.05) and deleloped the disease at a younger age (P<0.05). They had a higher positive rate of perinuclear anti-neutrophil cytoplasmic antibody (p-ANCA; P<0.05), lower 24 h proteinuria content, lower serum creatinine (P<0.05) and milder histopathological lesions (P<0.05). A number of them had gross hematuria (P<0.05). They rarely used hormone and cytotoxic drugs (P<0.05) during treatment and had a better prognosis (P<0.05). In conclusion, PTU-induced small-vessel vasculitis has a milder pathology and clinical manifestations with a better prognosis. ",0
12565,12565,22045675,Circulating microRNAs as potential markers of human drug-induced liver injury,"""UNLABELLED: New biomarkers of liver injury are required in the clinic and in preclinical pharmaceutical evaluation. Previous studies demonstrate that two liver-enriched microRNAs (miR-122 and miR-192) are promising biomarkers of acetaminophen-induced acute liver injury (APAP-ALI) in mice. We have examined these molecules, for the first time, in humans with APAP poisoning. Serum miR-122 and miR-192 were substantially higher in APAP-ALI patients, compared to healthy controls (median DeltaDeltaCt [25th, 75th percentile]) (miR-122: 1,265 [491, 4,270] versus 12.1 [7.0, 26.9], P < 0.0001; miR-192: 6.9 [2.0, 29.2] versus 0.44 [0.30, 0.69], P < 0.0001). A heart-enriched miR-1 showed no difference between APAP-ALI patients and controls, whereas miR-218 (brain-enriched) was slightly higher in the APAP-ALI cohort (0.17 [0.07, 0.50] versus 0.07 [0.04, 0.12]; P = 0.01). In chronic kidney disease (CKD) patients, miR-122 and -192 were modestly higher, compared to controls (miR-122: 32.0 [21.1, 40.9] versus 12.1 [7.0, 26.9], P = 0.006; miR-192: 1.2 [0.74, 1.9] versus 0.44 [0.30, 0.69], P = 0.005), but miR-122 and -192 were substantially higher in APAP-ALI patients than CKD patients (miR-122: P < 0.0001; miR-192: P < 0.0004). miR-122 correlated with peak ALT levels in the APAP-ALI cohort (Pearson R = 0.46, P = 0.0005), but not with prothrombin time. miR-122 was also raised alongside peak ALT levels in a group of patients with non-APAP ALI. Day 1 serum miR-122 levels were almost 2-fold higher in APAP-ALI patients who satisfied King's College Criteria (KCC), compared to those who did not satisfy KCC, although this did not reach statistical significance (P = 0.15). CONCLUSION: This work provides the first evidence for the potential use of miRNAs as biomarkers of human drug-induced liver injury.""",1
2712,2712,15056517,Multiple versus single antipsychotic agents for hospitalized psychiatric patients: case-control study of risks versus benefits,"Since use of multiple drugs to treat psychiatric patients is increasing, and research on this practice is rare, the authors carried out a retrospective case-control study of multiple versus single antipsychotic treatment in psychiatric inpatients. Inpatient treatment groups receiving either antipsychotic monotherapy or polytherapy were matched in terms of age, sex, diagnostic category, and admission clinical ratings (Global Assessment of Functioning [GAF] and Clinical Global Impression [CGI]), which yielded 70 subject pairs. They were compared in terms of total chlorpromazine-equivalent daily dose, changes in total daily dose, length of hospitalization, incidence of adverse effects, and changes in clinical ratings (CGI, GAF, Positive and Negative Syndrome Scale score) between admission and discharge. Initial doses were closely similar at admission for both treatment groups, but the median total final antipsychotic dose was 78% higher for those receiving antipsychotic polytherapy versus monotherapy. Also, median length of stay in the hospital was 55% (8.5 days) longer, and risk of adverse effects was 56% higher with polytherapy, whereas clinical improvement scores were similar (within 11%) for both treatments. Short-term treatment with multiple antipsychotics was associated with major increases in drug exposure, adverse events, and time in the hospital but with no apparent gain in clinical benefit. These findings require further testing in controlled prospective studies. ",0
8591,8591,6497443,Outbreak of fatal arsenic poisoning caused by contaminated drinking water,"""An outbreak of subacute poisoning occurred among nine members of a family; eight were ill with gastrointestinal symptoms, four developed encephalopathy, and two died. Abnormal liver function tests and leukopenia were common laboratory findings. Epidemiologic and environmental investigations traced the source of arsenic exposure to a farm well with water containing 108 ppm arsenic. The soil adjacent to the well was also contaminated with arsenic, possibly from waste pesticide. Presumably, arsenic gained access to the well through obvious leaks in the well's casing. To our knowledge, this is only the second reported outbreak of fatal arsenic poisoning from contaminated drinking water and one of few instances where illness followed exposure to a toxic substance which was disposed of, or possibly disposed of, in an indiscriminate manner.""",1
11022,11022,16621917,Phenotypic spectrum associated with mutations of the mitochondrial polymerase gamma gene,"Mutations in the gene coding for the catalytic subunit of the mitochondrial DNA (mtDNA) polymerase gamma (POLG1) have recently been described in patients with diverse clinical presentations, revealing a complex relationship between genotype and phenotype in patients and their families. POLG1 was sequenced in patients from different European diagnostic and research centres to define the phenotypic spectrum and advance understanding of the recurrence risks. Mutations were identified in 38 cases, with the majority being sporadic compound heterozygotes. Eighty-nine DNA sequence changes were identified, including 2 predicted to alter a splice site, 1 predicted to cause a premature stop codon and 13 predicted to cause novel amino acid substitutions. The majority of children had a mutation in the linker region, often 1399G-->A (A467T), and a mutation affecting the polymerase domain. Others had mutations throughout the gene, and 11 had 3 or more substitutions. The clinical presentation ranged from the neonatal period to late adult life, with an overlapping phenotypic spectrum from severe encephalopathy and liver failure to late-onset external ophthalmoplegia, ataxia, myopathy and isolated muscle pain or epilepsy. There was a strong gender bias in children, with evidence of an environmental interaction with sodium valproate. POLG1 mutations cause an overlapping clinical spectrum of disease with both dominant and recessive modes of inheritance. 1399G-->A (A467T) is common in children, but complete POLG1 sequencing is required to identify multiple mutations that can have complex implications for genetic counselling.",1
2029,2029,9881087,A case of untreatable progressive bladder carcinoma effectively treated by single administration of tegafur and uracil],"Bloody urine was grossly observed and multinodular shadow confirmed in both lungs of an 81-year-old male, who had been referred to our department. The diagnosis was bladder cancer (TCC, G3, T4N3M1) from detailed examination. With his advanced age and lowered ADL, the family did not wish for aggressive treatment, so no combination multidrug chemotherapy was attempted. Instead he was given 300 mg/day UFT per os. After 4 weeks administration, the metastatic focus decreased and tended to contract; at the same time gross observation revealed no more bloody urine. Moreover, following 7 weeks of administration, the bladder tumor disappeared, the lung metastatic focus showed overall shrinkage of over 50%, the lymph node metastasis also was more than 50% less, and the case was considered to be PR. The literature reveals UFT was efficacious in only 2 other cases of progressive bladder carcinoma. Since UFT has fewer complications, such as myelosuppression, among antitumor agent, it is considered worth trying in cases where intensive treatment is not feasible. ",0
5229,5229,25119611,Syndromes of thrombotic microangiopathy,This review article covers the diverse pathophysiological pathways that can lead to microangiopathic hemolytic anemia and a procoagulant state with or without damage to the kidneys and other organs.,0
9028,9028,8165461,[Technical aspects of ultrasonography of the fetal hip joint],"Recent advances in ultrasound technology now permit direct access to foetal structures with visualisation of foetal hip development. Since early diagnosis and treatment of congenital hip dislocation significantly influence outcome of the disease, ultrasound screening of newborn infants proved to be the most effective method. In our study assessment of the foetal hip has been carried out to provide basic knowledge on foetal hip development from 14.-40. weeks of gestation. Technique of foetal hip ultrasound is presented. Diagnosis should include qualitative and quantitative descriptions of foetal hip structures. Alpha and Beta angles according to Graf's classification are frequently measurable from the 21st week of gestation, but tend to be more reliable towards the end of pregnancy.",1
7011,7011,32745283,IgG 4 Autoimmune hepatitis presenting as idiopathic hypereosinophilia syndrome,"Autoimmune Hepatitis (AIH) and Idiopathic Hypereosinophilia Syndrome (HES) are viewed as distinct diseases. Our patient presented with hepatic and serum IgG4+ plasma cell infiltration, in addition to a marked bone marrow and peripheral eosinophilia with colonic involvement, raising the diagnosis of IgG4-related disease (IgG4-RD) and HES. This is the first reported case of IgG4 - AIH presenting with HES, both of which resolved with immune suppressive therapy.",0
8850,8850,7545495,Pharmacological correction of neonatal lethal hepatic dysfunction in a murine model of hereditary tyrosinaemia type I,"Hereditary tyrosinaemia type I, a severe autosomal recessive metabolic disease, affects the liver and kidneys and is caused by deficiency of fumarylacetoacetate hydrolase (FAH). Mice homozygous for a FAH gene disruption have a neonatal lethal phenotype caused by liver dysfunction and do not represent an adequate model of the human disease. Here we demonstrate that treatment of affected animals with 2-(2-nitro-4-trifluoro-methylbenzyol)-1,3-cyclohexanedione abolished neonatal lethality, corrected liver function and partially normalized the altered expression pattern of hepatic mRNAs. The prolonged lifespan of affected animals resulted in a phenotype analogous to human tyrosinaemia type I including hepatocellular carcinoma. The adult FAH-/- mouse will serve as useful model for studies of the pathophysiology and treatment of hereditary tyrosinaemia type I as well as hepatic cancer.",1
1071,1071,3491317,Endoscopic sclerotherapy versus portacaval shunt in patients with severe cirrhosis and acute variceal hemorrhage. Long-term follow-up,"In a continuation of a trial for which preliminary results were reported in the Journal two years ago, a total of 64 patients with Child Class C cirrhosis and variceal hemorrhage requiring six or more units of blood were randomly assigned to receive either a portacaval shunt (32 patients) or endoscopic sclerotherapy (32 patients). The duration of initial hospitalization and the total amount of blood transfused during hospitalization were significantly less in the patients receiving sclerotherapy (P less than 0.001). There was no difference in short-term survival (50 percent of the sclerotherapy group were discharged alive, as compared with 44 percent of the shunt-surgery group). Both groups were followed for a mean of 530 days after randomization. Rebleeding from varices, the duration of rehospitalization for hemorrhage, and transfusions received after discharge were all significantly greater in the sclerotherapy group (P less than 0.001). Forty percent of the sclerotherapy-treated patients discharged alive (7 of 16 patients) ultimately required surgical treatment for bleeding varices, despite a mean of 6.1 treatment sessions. Health care costs and long-term survival did not differ significantly between the groups (P greater than 0.05). We conclude that although endoscopic sclerotherapy is as good as surgical shunting for the acute management of variceal hemorrhage in poor-risk patients with massive bleeding, sclerotherapy-treated patients in whom varices are not obliterated and bleeding continues should be considered for elective shunt surgery.",0
8754,8754,7189278,Chronic vitamin A intoxication in infants fed chicken liver,"Twin female infants were fed 120 gm of chicken liver homogenate daily for four months. They developed irritability, vomiting, and bulging anterior fontanelles. Computed tomograms of the brain revealed enlarged ventricles in both infants and dilated subarachnoid spaces in one. Plasma vitamin A concentrations were elevated. After all sources of vitamin A intake were stopped, the infants recovered without sequelae. The chicken liver homogenate contained 36,000 IU of vitamin A per 120 gm. Since infants often receive 4,000 units of vitamin A daily from fortified milk and vitamin supplements, they probably cannot be fed 60 gm of chicken liver safely more often than once weekly.",1
3945,3945,19399912,Vascular disorders of the liver,This guideline has been approved by the American Association for the Study of Liver Diseases (AASLD) and represents the position of the association.,0
10926,10926,16265126,Drug Insight: appetite suppressants,"""The term 'appetite suppressant' is used to denote drugs that act primarily on the neurochemical transmitters of the central nervous system to reduce food intake. In addition to drugs that release or mimic the effect of norepinephrine (noradrenaline), this could include drugs that inhibit: reuptake of norepinephrine or 5-hydroxytryptamine (also known as serotonin); bind to the gamma-aminobutyric acid receptors or the cannabinoid receptors; and some peptides that reduce food intake. The sympathomimetic drugs phentermine, diethylpropion, benzphetamine, and phendimetrazine--so named because they mimic many effects of norepinephrine--are only approved in a few countries, and then only for short-term use. Sibutramine, a norepinephrine-5-hydroxytryptamine reuptake inhibitor, is approved for long-term use. Several new mechanisms for drug action are under investigation. Appetite suppressants should be viewed as useful adjuncts to diet and physical activity and might help selected patients to achieve and maintain weight loss.""",1
11876,11876,19584064,ABCB4 gene mutations and single-nucleotide polymorphisms in women with intrahepatic cholestasis of pregnancy,"""AIM: To evaluate the nature and frequency of ATP-binding cassette subfamily B member 4 (ABCB4) gene variants in a series of French patients with intrahepatic cholestasis of pregnancy (ICP). METHODS: In this prospective study, the entire ABCB4 gene coding sequence was analysed by DNA sequencing in 50 unrelated women with ICP defined by pruritus and raised serum alanine aminotransferase activity or bile acid concentration, with recovery after delivery. Genomic variants detected in patients with ICP were sought in 107 control pregnant women. Patients with ICP and controls were of Caucasian origin. RESULTS: Eight genomic variants were observed. One nonsense mutation (p.Arg144Stop) and two missense mutations (p.Ser320Phe and p.Thr775Met) were revealed each in one heterozygous patient. A third missense mutation (p.Arg590Gln) was detected in three heterozygous patients and in two homozygous patients also homozygous for a particular haplotype of three single-nucleotide polymorphisms (c.175C>T, c.504T>C, c.711A>T). The chromosomal frequency of the p.Arg590Gln variant was significantly different between the ICP and control group (7.0% vs 0.5%; p = 0.0017; OR 16.03, 95% CI 1.94 to 132.16). An association was also found between allele T of the c.504T>C silent nucleotide polymorphism and ICP (68.0% vs 53.7%; p = 0.017; OR 1.83, 95% CI 1.08 to 3.11). The chromosomal frequency of the p.Arg652Gly variant did not differ between the ICP and control group (p = 0.40). CONCLUSIONS: This study shows that 16% of Caucasian patients with ICP bear ABCB4 gene mutations, and confirms the significant involvement of this gene in the pathogenesis of this complex disorder.""",1
6745,6745,30761815,Current perspectives for the treatment of chronic myeloid leukemia,"With an annual incidence of 1-2 in a million, Ph*(+) chronic myeloid leukemia (CML) is a clonal hematopoietic stem cell disease that makes myeloid neoplastic cells breed out of control. This BCR-ABL(+) myeloproliferative disease makes up about 15%-20% of all leukemia cases in adults. CML is seen more in males than females, with a rate of three to two. However, it does not show differences in prevalence in terms of age. CML consists of three clinical phases. The first one is the chronic phase, defined by rising white blood cell levels and also by myeloid proliferation and bone marrow maturation. While this phase does not exhibit complications, in diagnosis, it comprises most of the patients. The second phase is the accelerated phase, which the disease progresses to if it is not treated or does not respond to treatment. This usually takes about 3 years. The third phase is the blastic phase. The chronic phase can still progress to the next two phases within the first 2 years, with a rate of 10%. In the following years, the possibility increases by 15%-20% each year. Tyrosine kinase inhibitors (TKIs) are revolutionary drugs for the management of disease course in CML. The aim of this review is to assess current approaches to CML patients' follow-up and treatment with TKIs. A literature search on CML and TKIs was made in PubMed, Web of Science, and Scopus with particular focus on randomized clinical trials, recommendations, guidelines, and expert opinions. In managing CML, various treatment methods have been utilized for many decades. Prior to the development of TKIs, interferon alpha was the primary tool, which was then complemented by allogeneic hematopoietic stem cell transplantation (HSCT). HSCT was successful in slowing the disease down in the long term and curing up to 50% of patients. Then the coming of the imatinib era opened up different treatment perspectives. For the patients resistant or intolerant to imatinib, second- and third-generation TKIs are successfully used in distinct CML disease states. The survival benefits of TKIs including imatinib, nilotinib, dasatinib, bosutinib, and ponatinib for CML patients are outstanding. TKI-related adverse events could impact the clinical course, especially in long-term drug administrations. The current aim for CML disease management in the TKI era is to provide age- and sex-matched normal life duration to CML patients. ",0
10515,10515,14625346,Acetaminophen-induced hepatotoxicity,"""The analgesic acetaminophen causes a potentially fatal, hepatic centrilobular necrosis when taken in overdose. The initial phases of toxicity were described in Dr. Gillette's laboratory in the 1970s. These findings indicated that acetaminophen was metabolically activated by cytochrome P450 enzymes to a reactive metabolite that depleted glutathione (GSH) and covalently bound to protein. It was shown that repletion of GSH prevented the toxicity. This finding led to the development of the currently used antidote N-acetylcysteine. The reactive metabolite was subsequently identified to be N-acetyl-p-benzoquinone imine (NAPQI). Although covalent binding has been shown to be an excellent correlate of toxicity, a number of other events have been shown to occur and are likely important in the initiation and repair of toxicity. Recent data have shown that nitrated tyrosine residues as well as acetaminophen adducts occur in the necrotic cells following toxic doses of acetaminophen. Nitrotyrosine was postulated to be mediated by peroxynitrite, a reactive nitrogen species formed by the very rapid reaction of superoxide and nitric oxide (NO). Peroxynitrite is normally detoxified by GSH, which is depleted in acetaminophen toxicity. NO synthesis (serum nitrate plus nitrite) was dramatically increased following acetaminophen. In inducible nitric oxide synthase (iNOS) knockout mice, acetaminophen did not increase NO synthesis or tyrosine nitration; however, histological evidence indicated no difference in toxicity. Acetaminophen did not cause hepatic lipid peroxidation in wild-type mice but did cause lipid peroxidation in iNOS knockout mice. These data suggest that NO may play a role in controlling lipid peroxidation and that reactive nitrogen/oxygen species may be important in toxicity. The source of the superoxide has not been identified, but our recent finding that NADPH oxidase knockout mice were equally sensitive to acetaminophen and had equal nitration of tyrosine suggests that the superoxide is not from the activation of Kupffer cells. It was postulated that NAPQI-mediated mitochondrial injury may be the source of the superoxide. In addition, the significance of cytokines and chemokines in the development of toxicity and repair processes has been demonstrated by several recent studies. IL-1beta is increased early in acetaminophen toxicity and may be important in iNOS induction. Other cytokines, such as IL-10, macrophage inhibitory protein-2 (MIP-2), and monocyte chemoattractant protein-1 (MCP-1), appear to be involved in hepatocyte repair and the regulation of proinflammatory cytokines.""",1
297,297,1152862,The effect of somatostatin on coagulation and platelet function in man,"Preliminary evidence has suggested that somatostatin might interfere with platelet function in the baboon. Because this agent is currently being administered experimentally to human beings, we studied its effect on coagulation and platelet function in man. In five subjects, a four-hour infusion of somatostatin (500 micrograms per hour) had no definite effect on platelet count, leukocyte count, hematocrit, platelet adhesiveness and aggregation, bleeding time, partial thromboplastin time, prothrombin time, and fibrinogen levels. A similar infusion for 18 hours in three subjects was likewise without effect. These studies indicate that somatostatin does not affect coagulation and platelet function in man and that its prolonged administration lacks ostensible toxicity.",0
6934,6934,31405828,Long-term macrolide antibiotics for the treatment of bronchiectasis in adults: an individual participant data meta-analysis,"Bronchiectasis guidelines recommend long-term macrolide treatment for patients with three or more exacerbations per year without Pseudomonas aeruginosa infection. Randomised controlled trials suggest that long-term macrolide treatment can prevent exacerbations in adult patients with bronchiectasis, but these individual studies have been too small to do meaningful subgroup analyses. We did a systematic review and individual patient data (IPD) meta-analysis to explore macrolide benefit in subpopulations, including those in which macrolide therapy is not currently recommended. We searched MEDLINE, Embase, the Cochrane Central Register of Controlled Trials, and Web of Science from Jan 1, 2000, to Sept 30, 2018, to identify double blind, randomised, placebo-controlled trials of macrolide antibiotics in adult patients with bronchiectasis. We applied no language restrictions. Randomised controlled trials were eligible if treatment was defined a priori as long term and had a primary or secondary outcome of bronchiectasis exacerbations. Studies in patients with cystic fibrosis bronchiectasis were excluded. The primary outcome of the meta-analysis was frequency of exacerbations requiring treatment with antibiotics. Secondary endpoints were time to first exacerbation, change in quality of life according to the St George's Respiratory Questionnaire (SGRQ), and change in FEV Of 234 identified studies, we included three randomised controlled trials, and IPD was obtained for 341 participants. Macrolide antibiotics reduced the frequency of exacerbations (adjusted incidence rate ratio [IRR] 0·49, 95% CI 0·36 to 0·66; p<0·0001). We also found that macrolide treatment improved the time to first exacerbation (adjusted hazard ratio 0·46, 0·34 to 0·61; p<0·0001) and was associated with improved quality of life measured by the SGRQ (mean improvement 2·93 points, 0·03 to 5·83; p=0·048). Macrolides were not associated with a significant improvement in FEV Long-term macrolide treatment significantly reduces the frequency of exacerbations in patients with bronchiectasis, with similar benefits observed in all subgroups based on patient characteristics. This finding suggests that macrolides might be considered in patients in whom macrolides are not indicated according to the current guidelines, particularly if alternative approaches to reduce exacerbations have been unsuccessful. However, downsides of long-term macrolide treatment must also be taken into account. European Respiratory Society. ",0
4983,4983,24382002,Romosozumab in postmenopausal women with low bone mineral density,"BACKGROUND: Sclerostin is an osteocyte-derived inhibitor of osteoblast activity. The monoclonal antibody romosozumab binds to sclerostin and increases bone formation. METHODS: In a phase 2, multicenter, international, randomized, placebo-controlled, parallel-group, eight-group study, we evaluated the efficacy and safety of romosozumab over a 12-month period in 419 postmenopausal women, 55 to 85 years of age, who had low bone mineral density (a T score of -2.0 or less at the lumbar spine, total hip, or femoral neck and -3.5 or more at each of the three sites). Participants were randomly assigned to receive subcutaneous romosozumab monthly (at a dose of 70 mg, 140 mg, or 210 mg) or every 3 months (140 mg or 210 mg), subcutaneous placebo, or an open-label active comparator--oral alendronate (70 mg weekly) or subcutaneous teriparatide (20 ?g daily). The primary end point was the percentage change from baseline in bone mineral density at the lumbar spine at 12 months. Secondary end points included percentage changes in bone mineral density at other sites and in markers of bone turnover. RESULTS: All dose levels of romosozumab were associated with significant increases in bone mineral density at the lumbar spine, including an increase of 11.3% with the 210-mg monthly dose, as compared with a decrease of 0.1% with placebo and increases of 4.1% with alendronate and 7.1% with teriparatide. Romosozumab was also associated with large increases in bone mineral density at the total hip and femoral neck, as well as transitory increases in bone-formation markers and sustained decreases in a bone-resorption marker. Except for mild, generally nonrecurring injection-site reactions with romosozumab, adverse events were similar among groups. CONCLUSIONS: In postmenopausal women with low bone mass, romosozumab was associated with increased bone mineral density and bone formation and with decreased bone resorption. (Funded by Amgen and UCB Pharma; ClinicalTrials.gov number, NCT00896532.).",0
11188,11188,17195556,Arsenic contamination in groundwater: a global perspective with emphasis on the Asian scenario,"The incidence of high concentrations of arsenic in drinking-water has emerged as a major public-health problem. With newer-affected sites discovered during the last decade, a significant change has been observed in the global scenario of arsenic contamination, especially in Asian countries. This communication presents an overview of the current scenario of arsenic contamination in countries across the globe with an emphasis on Asia. Along with the present situation in severely-affected countries in Asia, such as Bangladesh, India, and China, recent instances from Pakistan, Myanmar, Afghanistan, Cambodia, etc. are presented.",1
1964,1964,9581695,"Efficacy of thymosin alpha1 in patients with chronic hepatitis B: a randomized, controlled trial","Thymosin alpha1 (Talpha) is an immune modifier that has been shown in a pilot study to be effective for chronic hepatitis B; this requires confirmation. Ninety-eight patients with clinicopathologically proven chronic hepatitis B were randomly allocated to 3 groups: 1) group A received a 26-week course of Talpha with a 1.6-mg subcutaneous injection two times a week (T6 group); 2) group B received the same regimen as group A, but Talpha therapy extended for 52 weeks (T12 group); and 3) group C served as a control group and was followed up for 18 months without specific treatment (T0 group). The three groups were comparable in clinicohistological features at entry. The complete virological response rate (clearance of serum hepatitis B virus [HBV] DNA and hepatitis B e antigen [HBeAg]) was higher in group A (40.6%) and group B (26.5%) than in group C (9.4%) (group A vs. group C: P=.004; group B vs. group C: P=.068) when assessed 18 months after entry, although complete response rates among these three groups were similar when first assessed at the end of therapy. There was a trend for complete virological response to increase or accumulate gradually after the end of Talpha therapy. None of the responders lost hepatitis B surface antigen. Blinded histological assessment showed a significant improvement in treated patients, particularly in lobular necroinflammation and scores excluding fibrosis. No significant side effects were observed. These results suggest that a 26-week course of Talpha therapy is effective and safe in patients with chronic hepatitis B.",0
99,99,581782,Comparison of the immediate effects of five beta-adrenoreceptor-blocking drugs with different ancillary properties in angina pectoris,"We compared the immediate effects of five beta-adrenoreceptor-blocking agents in 16 patients with stable angina pectoris. Acute dose-response studies showed that all five drugs improved exercise tolerance and reduced ST-segment depression, heart rate and blood pressure by a similar degree in comparison with a placebo (P less than 0.01). Near maximum improvement in exercise tolerance occurred when the acute cumulative oral dose had reached 160 mg for propranolol and oxprenolol, 200 mg for metoprolol and tolamolol and 400 mg for practolol. When these drugs were administered as a single doses, increase in walking time before the development of angina and reduction in ST-segment depression, heart rate and systolic blood pressure all occurred within one hour and persisted for eight hours--effects markedly different from the response to a placebo (P less than 0.01). These data show that non-cardioselective agents (propranolol and oxprenolol), cardioselective agents (practolol, metoprolol and tolamolol), as well as drugs with intrinsic sympathomimetic activity (oxprenolol and practolol), were equally effective in the treatment of angina pectoris.",0
7267,7267,874990,Evaluation of clinical skills for a specialty board during residency training,"Since 1971 the directors of residency training programs in internal medicine have had the responsibility for evaluating the clinical skills of their trainees for the American Board of Internal Medicine. Satisfactory performance is required by the board as a qualification for admission to its written certifying examination. This report presents the board's experience with the evaluation of clinical skills through June 1975 based on visits with the administrators of 166 residency training programs. Described are the evaluative methods employed by the programs, the delineation and observation of acceptable minimum standards of performance, and the benefits to training in internal medicine accruing from the institution of these evaluation procedures and from the related visits to hospitals by representatives of the board.",1
7111,7111,247023,[Public health nursing activity based on the close tie with the local residents--answer to the letter by Ms. Yamazaki],,1
8092,8092,3944744,Hepatomegaly following short-term high-dose steroid therapy,"Children treated with large doses of corticosteroids were found to develop hepatomegaly within a few days. No relationship could be established between the condition for which steroids were given and the liver enlargement. Liver biopsy was thought to be indicated, and thus was performed in three children because of diagnostic uncertainty. The light and electron microscopic examinations revealed normal liver architecture, without edema, sinusoid engorgement, or inflammatory changes. The hepatocytes were distended by increased amounts of glycogen. In a pattern reminiscent of some glycogen storage diseases, mitochondria and other cytosol components were displaced toward the cell membrane or around the nucleus, which occasionally contained glycogen. Moderate sinusoidal compression, interhepatocytic free glycogen particles, and mild increase in lipid droplets were also found. It is concluded that the hepatomegaly noted in patients given short-term, high-dosage steroid therapy is due to excessive glycogen accumulation within parenchymal cells. This finding is in accordance with observations in animals, as well as with biochemical studies demonstrating hepatocytic glycogen deposition after steroid therapy. Being benign and reversible, early hepatomegaly following administration of high-dose corticosteroids should not influence the initial therapeutic plan required by the basic disease.",1
